weeks,main_thrust,subbrands,competitor1,competitor2
02/01/2017,253.5971635,207.3716778,165.5551291,246.5297611
09/01/2017,276.4988372,182.4870765,145.8828469,216.9461897
16/01/2017,296.6523101,160.5886273,128.3769053,190.912647
23/01/2017,314.3873662,141.317992,113.1173433,168.0031293
30/01/2017,329.9942156,124.359833,99.72292879,147.8427538
06/02/2017,343.7282431,109.436653,87.75617733,130.1016234
13/02/2017,355.8141872,96.30425467,77.48176939,114.4894286
20/02/2017,366.4498181,84.74774411,122.3999571,100.7506971
27/02/2017,455.8091733,74.57801482,143.2289622,88.66061347
06/03/2017,534.4454058,65.62865304,169.5548201,240.9446732
13/03/2017,603.6452904,57.75321467,198.6799083,372.9513124
20/03/2017,664.5411889,50.82282891,174.8383193,328.1971549
27/03/2017,718.1295796,44.72408944,157.7683877,288.8134963
03/04/2017,641.95403,146.0238654,226.8571812,311.9458768
10/04/2017,644.9195464,235.1676682,324.5086528,335.6123715
17/04/2017,647.5292009,313.6142147,417.9476145,351.6355536
24/04/2017,649.8256968,382.6471756,489.0495674,366.7926205
01/05/2017,651.8466131,403.3961812,518.6399527,473.2908394
08/05/2017,653.6250196,354.9886394,483.2364917,649.709272
15/05/2017,585.1900172,379.0566694,455.966446,778.7474926
22/05/2017,594.9672152,400.2365357,497.6668058,932.2244602
29/05/2017,603.5711493,418.8748181,537.7341225,871.8641916
05/06/2017,611.1426114,435.2765066,583.3930278,862.973822
12/06/2017,617.805498,383.0433258,543.7258644,914.7102967
19/06/2017,623.6688383,337.0781267,509.7920941,1064.268394
26/06/2017,628.8285777,296.6287515,524.6103761,1142.13952
03/07/2017,666.7024817,261.0333013,535.2904643,1233.722778
10/07/2017,700.0315172,229.7093052,540.2722753,1224.908045
17/07/2017,729.3610685,202.1441885,502.9292689,1150.502413
24/07/2017,755.1710736,177.8868859,466.9837566,1054.905456
31/07/2017,777.8838781,156.5404596,431.6853725,1052.550135
07/08/2017,701.2044794,137.7556045,404.6364611,1054.648785
14/08/2017,683.7266085,121.2249319,389.2487525,1049.093598
21/08/2017,668.3460822,106.6779401,368.3459022,1054.022366
28/08/2017,654.811219,93.87658728,340.8377272,1091.226349
04/09/2017,642.9005394,82.61139681,317.0082,1043.325854
11/09/2017,632.4191413,72.69802919,294.9485493,1047.310085
18/09/2017,573.195511,63.97426569,271.0683901,1041.656208
25/09/2017,571.0787164,56.2973538,244.5245166,994.4574628
02/10/2017,569.2159371,49.54167135,218.2685746,977.0259006
09/10/2017,567.5766913,43.59667079,197.7773456,884.6361258
16/10/2017,566.134155,38.36507029,178.8217308,800.5264574
23/10/2017,564.8647231,33.76126186,190.2801231,726.0136159
30/10/2017,513.747623,29.70991043,214.8725084,665.9343153
06/11/2017,518.7645749,26.14472118,199.545474,592.5448641
13/11/2017,523.1794926,23.00735464,185.3933505,526.0661471
20/11/2017,527.0646201,20.24647208,200.0894817,468.6048761
27/11/2017,530.4835324,17.81689543,216.3500773,440.702291
04/12/2017,533.4921752,15.67886798,198.228068,410.528016
11/12/2017,536.1397808,13.79740382,190.5640332,361.2646541
18/12/2017,538.4696738,12.14171536,203.2920159,317.9128956
25/12/2017,490.5199796,10.68470952,187.5033073,279.7633482
