weeks,main_thrust,subbrands,competitor1,competitor2,awareness
30/12/2013,0,1101.677776,462.8131675,297.7031847,69.40817969
06/01/2014,135.39,969.4764426,407.5739207,261.9788025,69.77652709
13/01/2014,267.6432,853.1392695,394.9783835,230.5413462,69.78015915
20/01/2014,365.106016,750.7625572,385.0473108,202.8763847,69.8500623
27/01/2014,453.4932941,660.6710503,358.9623002,178.5312185,69.69057583
03/02/2014,525.2540988,581.3905243,366.0201575,157.1074723,69.69057583
10/02/2014,575.7436069,511.6236614,380.681072,138.2545756,70.4026976
17/02/2014,624.3643741,450.228822,457.2696767,121.6640265,70.33409792
24/02/2014,672.6506492,396.2013634,517.6906488,107.0643433,70.79971333
03/03/2014,729.3425713,348.6571998,563.1754376,94.21662215,71.09182184
10/03/2014,769.5314627,306.8183358,589.9187184,82.91062749,71.6659535
17/03/2014,705.6876872,309.5901355,604.8751389,73.15901886,72.40480025
24/03/2014,642.8651648,307.6959859,722.9654555,64.62460326,71.91902294
31/03/2014,634.631345,289.0191343,682.5629342,152.9766509,71.42740906
07/04/2014,673.5155836,284.5268382,643.7473821,359.3527861,71.44326151
14/04/2014,592.6937136,250.3836176,566.5513629,519.9704517,71.00980677
21/04/2014,521.5704679,220.3375835,560.3571994,930.2606642,70.93276456
28/04/2014,458.9820118,193.8970734,573.9480021,1233.119385,70.75835202
05/05/2014,403.9041704,170.6294246,579.7442419,1285.558392,70.16301721
12/05/2014,355.4356699,150.1538937,528.0949328,1323.398051,69.8673287
19/05/2014,312.7833895,132.1354264,579.3268742,1330.726952,69.28227797
26/05/2014,275.2493828,231.3191753,617.434316,1600.579718,68.51674929
02/06/2014,242.2194569,330.8008742,632.8125314,1543.810152,68.54971984
09/06/2014,213.153122,406.2347693,634.112361,1371.072933,68.64111935
16/06/2014,187.5747474,481.656597,651.2805443,1218.421181,67.71613534
23/06/2014,165.0657777,535.0078054,678.646879,1103.307306,66.04808396
30/06/2014,145.2578844,597.1268687,651.9225869,978.5704295,66.21906197
07/07/2014,127.8269383,673.9016445,656.2288764,869.5186446,66.15961471
14/07/2014,112.4877057,725.7434471,661.9477446,890.3130739,65.22884398
21/07/2014,98.98918098,638.6542335,711.0356819,978.5721717,65.07211779
28/07/2014,87.11047926,562.0157255,724.3380667,1063.370178,64.47926921
04/08/2014,76.65722175,615.5538384,699.8201654,1028.78009,63.92326723
11/08/2014,67.45835514,726.8440445,674.8204122,1005.824479,63.56343603
18/08/2014,59.36335252,792.5227591,637.3219628,976.8188749,64.63524369
25/08/2014,52.23975022,876.2233614,603.1793272,1033.80061,64.01934945
01/09/2014,45.9709802,939.2432247,587.957808,1041.04787,64.0522582
08/09/2014,40.45446257,1020.864038,569.5192043,1020.742792,64.36112327
15/09/2014,35.59992706,1065.66702,525.4455665,954.0243239,65.40086683
22/09/2014,58.29460248,993.7536441,472.9130985,927.3927384,65.39303359
29/09/2014,117.2942502,931.6898735,470.9845267,932.2056098,65.69838742
06/10/2014,117.2536068,872.3937554,482.1790502,924.0842699,66.17896563
13/10/2014,103.183174,830.6398381,479.8498975,878.0598242,66.80337487
20/10/2014,91.48785979,814.2563908,466.4185764,839.0796453,67.83773838
27/10/2014,81.46364995,716.5456239,442.1340139,795.8627545,67.62589417
03/11/2014,71.68801196,630.560149,448.3809323,719.665224,67.76884385
10/11/2014,63.08545052,554.8929312,440.8275537,655.5820638,67.29046689
17/11/2014,55.51519646,488.3057794,474.6269139,619.8822161,67.00962869
24/11/2014,48.85337289,429.7090859,429.6146843,545.4963502,66.29139692
01/12/2014,42.99096814,378.1439956,405.9322555,480.2957882,66.92763292
08/12/2014,38.13871863,384.0400494,385.7520515,422.9209603,67.17462879
15/12/2014,33.56207239,343.7485768,370.7848053,372.170445,67.46769029
22/12/2014,29.53462371,302.4987476,326.2906287,352.5833249,67.73886388
29/12/2014,25.99046886,266.1988979,287.1697532,330.8266593,67.76136135
05/01/2015,105.6849459,234.2550302,252.7790495,291.1274602,67.48514207
12/01/2015,191.6294191,206.1444265,222.8488969,256.192165,67.53726285
19/01/2015,244.9138888,181.4070954,196.3090293,225.4491052,68.14603579
26/01/2015,302.4242221,159.6382439,172.8502791,198.3952125,68.65678425
02/02/2015,334.8199821,140.4816546,152.2752456,174.587787,68.43254897
09/02/2015,383.3449176,123.6238561,134.3082161,153.6372526,68.6830183
16/02/2015,390.5368608,108.7889934,118.2772302,135.2007823,69.03461083
23/02/2015,379.6857709,95.73431415,104.3329626,236.9100217,68.18474074
02/03/2015,381.370145,84.24619645,91.81300707,261.6208191,67.74189736
09/03/2015,374.9157276,74.13665288,80.99177955,376.5563208,67.14306028
16/03/2015,370.1991736,65.24025453,71.42476601,523.3185623,66.5013729
23/03/2015,368.5519395,57.41142399,62.85379408,626.7270015,66.37805526
30/03/2015,352.8223734,50.52205311,55.31133879,673.9730947,66.36431781
06/04/2015,341.1736886,44.45940674,48.73164481,625.07299,65.74711888
13/04/2015,336.8895126,39.12427793,43.21984743,692.3208978,65.36176998
20/04/2015,326.4727711,34.42936458,38.13246574,719.0790568,64.68083332
27/04/2015,325.6260386,30.29784083,33.55656985,712.31957,65.21198714
04/05/2015,353.4975806,26.66209993,29.52978147,705.8145549,65.71761426
11/05/2015,374.9345376,23.46264794,26.48954102,680.3701416,66.03671832
